hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
"izurare* 1, izuraro* 2","izurare* 1, izuraro* 2",,代,,,,（南琉球八重山）不定指、何处、哪个、谁。,,,八重山 1 *izu-ra-re | 2 *izu-ra-ro,,,,*-ra-r[e],,,,何処.i,,,,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
"izure 1, dore 2, izuro* 3","izure 1, dore 2, izuro* 3（何）",何 孰,代,,1 3.6; 上平平 - [0]-(0)-A B-B-A. 江户 LLH | 2 ?2.1 ?< 3.6 - [1]-[0/1]-x,3.6,不定指、何处、哪个、谁。,773 | 孰.i.n.2 | *idure | xX,1 izu-re | 2 do-re,1 *idu-re | 3 *idu-ro,*idu-r[e],,,*-r[e],,,,何処.i,,,,5,1,0,,,,,1 idure 伊都礼 伊豆礼 伊頭礼,,1 下総 idure 以都例,,,2 dore,,,1 イヅレ,1 イズレ | 2 ドレ,日|琉,,,,,,,,
"izuci 1, izusi 2, doci 3, doQci 4","izuti 1, izusi 2, doti 3, doQti 4（何処）",何処 何方,代,,"1 3.7b; 平上平 - [1]-(0)-x. 镰仓 LHL, 江户 LLH | 3 ?2.1; [1]-x-x | 4 ?3.1; [1]-[0]-x. 1700 大阪 HHL",3.7b,不定方向、不定场所、何方、哪个、哪边。,,1 izu+ti | 2 izu+si | 3 do+ti | 4 do+Qti,,,,,,,,何処+道,何処.i|道.t,,,,5,1,0,,,,,1 iduti 伊豆知,,2 不明 idusi 伊豆思,,,,3 doti | 4 doQti,,1 イヅチ | 2 イヅシ,1 イズチ | 2 イズシ | 3 ドチ | 4 ドッチ,日,,,,,,,,
"karaei 1, karei 2","karaei 1, karei 2",鰈 蚯 王余魚,名,,1 4.6; 平平平上 | 2 3.5b?< 4.6; 平平上 - [1]-[1]-B,4.6,比目鱼。,,1 kara-ei | 2 kar-ei,,,,,,,,韓+鱏,鱏.e|韓.k,,,鱼,3,1,0,,,,,,,,,,1 karaewi 加良衣比 | 2 karewi 加礼比,,,1 カラエヒ | 2 カレヒ,1 カラエイ | 2 カレイ,日,,,,,,,,
matahabu*,matahabu*（赤楝蛇）,赤楝蛇,名,,,,（北琉球奄美）赤栋蛇（= yamakagasi）,,,奄美 *mata+pabu,,,,,,,叉+蛇,叉.m|蛇.p,,,爬行,0,1,0,,,,,,,,,,,,,,,北琉奄,,,,,,,,
ni*,ni*（兄）,兄,名,,,,（北琉球）哥哥。,,,北 *ni,,,,,,,,兄,,,亲属,0,1,0,,,,,,,,,,,,,,,北琉,,,,,,,,
"niwanoai 1, niwanai 2, niinae 3, niiname 4","niwanoai 1, niwanai 2, niinae 3, niiname 4（新嘗）",新嘗,名,,4 [0]-x-x,,新尝祭（古代阴历十一月第二个卯日，天皇将当年收获的新谷等供奉给天神地祇，进行感谢奉告，并将这些贡品作为神的恩赐亲自食用的仪式，现代每年 11 月 23 日在宫中三殿附近的神嘉殿举行；同日，全日本的神社也会举行）。,,1 niwa=no+a-i | 2 niwa=n(o)+a-i | 3 nii=n(o)+ae | 4 nii=n+ame,,,,,1 2 *-i | 3 4 *-(i)-i,,,新=の+合,新.n|合.a,,,,5,1,0,,,,,1 [nipanoapi] (新嘗) | 2 [nipanapi] (新嘗),,,,,3 niinawe,4 niiname,,1 ニハノアヒ | 2 ニハナヒ | 3 ニヒナへ | 4 ニヒナメ,1 ニワノアイ | 2 ニワナイ | 3 ニイナエ | 4 ニイナメ,日,,,,,,,,
oe-*,oe-*（稼）,稼,他动,,,,（南琉球宫古）做有薪劳动。,7329 | 稼.b.v | *[w]oCe-(?) || 5264 | 稼.b.n | *[w]oCe(?),,宮古 *[w]o[C]e-,,,,*-i-,,,,稼.w,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
og-*,og-*（誘）,誘,他动,,,,（南琉球宫古）引诱。,5034 | 誘.w.v | *[w]oog-,,宮古 *[w]og-,,,,,,,,誘.w,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ogas-*,ogas-*（誘）,誘,他动,,,,（南琉球宫古）使引诱。,6930 | 誘.w.v.2 | *[w]oog-as-,,宮古 *[w]oga-s-,,,,*-s-,,,,誘.w,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
"okozi 1, okoze 2","okozi 1, okoze 2（鰧）",鰧 虎魚,名,,3.4; 平平平 - [2]-[1]-x,3.4,虎鱼。,,,,,,,,,,,鰧.o,,,鱼,4,1,0,,,,,,,,,,1 wokozi 乎古之,2 wokoze,,1 ヲコジ | 2 ヲコゼ,1 オコジ | 2 オコゼ,日,,,,,,,,
omeku,omeku（喚）,喚 叫,自动,五段（四段）,B-A-x | omeki（名词）: [3]-x-x,,大叫、大嚷。,,o-mek-,,,,,*-miak-,,,,o,,,,3,1,0,,,,,,,,,,womek-,,,ヲメク,オメク,日,,,,,,,,
oogi,oogi（扇）,扇,名,,3.4; 平平平 - [3]-[1]-B B-B-x. 江户 HHL,3.4,扇。,,ao-g-i,*ap[o]-g-i,*ap[o]-g-i,,,*-g-i,,,,扇.a,,,,3,1,0,,,,,,,,,,apugi 阿布歧,,,アフギ,オウギ,日|琉,,,,,,,,
"oonie 1, oonbe 2, onbe 3, ooname 4","oonie 1, oonbe 2, onbe 3, ooname 4（御贄）",御贄 大嘗 大贄 苞苴,名,,1 4.6/4.7 = 2.3|2.1; 平平平上 | 2 4.7 = 2.3|2.1; 平平(|)上上 | 3 3.5x. 镰仓 LLH,,大尝祭（特指天皇即位之礼后首次举行的新尝祭）。,,1 oo+ni(i)+(a)e | 2 oo+n(ii)+(a)be | 3 o(o)+n(ii)+(a)be | 4 oo+n(ii)+ame,,,,,*-(i)-i,,,大+新+合,大.ǝ|新.n|合.a,,,,4,1,0,,,,,1 oponipe2 (於保邇倍 贄 大贄 苞苴),,,,,2 oonbe | 3 onbe | 4 ooname,,,1 オホニヘ | 2 オホンベ | 4 オホナメ,1 オオニエ | 2 オオンベ | 3 オンベ | 4 オオナメ,日,,,,,,,,
oria*,oria*（同年）,同年,名,,,,（南琉球宫古）同龄人。,6609 | 同年性.b.n | *[w]oorja,,宮古 *wor-i-a,,,,*-i-a,,,,折.w,,,人,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
osa*,osa*（尾）,尾,名,,,,（南琉球八重山）尾巴。,479 | 尾.b.n | *[w][o]sa,,八重山 *wo-sa,,,,*-sa,,,,尾.w,,,器官,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
osopo*,osopo*（尾）,尾,名,,,,（南琉球八重山）尾巴。,5913 | 尾.w.n.2 | *[w][o]s[o]p[o],,八重山 *wo-so-po,,,,*-so-po,,,,尾.w,,,器官,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
otsukurai*,otukurai*,,,,,,（南琉球八重山）包袱布。,,,八重山 *o+tuku-ra-p-i,,,,*-ra-p-i,,,御+作,御.ǝ|築.t,作,k/p,具,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
"otsukuri* 1, otsupuri* 2","otukuri* 1, otupuri* 2",,,,,,（琉球）包袱布。,,,1 *o+tuku-r-i (< *o+tuk[o]-r-i) > 2 南 *o+tupu-r-i,,,,*-r-i,,,御+作,御.ǝ|築.t,作,k/p,具,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
otupuria*,otupuria*,,,,,,（南琉球宫古）包袱布。,,,宮古 o+tu[p]u-r-i-a（参考：南 *o-tupur-i）,,,,*-r-i-a,,,御+作,御.ǝ|築.t,作,k/p,具,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
ocokuru,otyokuru,,他动,,,,嘲笑、开玩笑。,,o.t.yoku-r-,,,,*-t-,*-r-,不明,,,枉惑.w,枉着,,,2,1,0,,,,,,,,,,,,ocokur-,,オチョクル,日,,,,,,,,
ouras-*,ouras-*（喧嘩）,喧嘩,他动,,,,（北琉球冲绳）使战斗、使打架。,,,沖縄 *a[u]ra-s-（*p 尾被改为 *r 尾，四段化）,,,,*-s-,,,,合.a,喧嘩,,,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
oucaku,outyaku（横着）,横着 枉着 誑着 抂惑,名,,[3/4]-[3]-x,,脸皮厚、狡猾、懒惰、（琉球）恶作剧、玩笑。,4899 | 横着.w.n | *wacjako | oX,ou.t.yaku,*wa.t.yaku,*waũ.t.yaku < *waũ.t.waku,,*-t-,,不明,,,枉惑.w,枉着,,性格,3,1,0,,,,,,,,,,,waucaku,,ワウチャク,オウチャク,日|琉,,,,,,,,
"ouwaku 1, wawaku 2","ouwaku 1, wawaku 2（枉惑）",枉惑 抂惑 誑惑 横惑,名,,,,欺骗迷惑、脸皮厚、狡猾。,4901 | 誑惑.w.n | *wajaku,1 ou.waku | 2 wa.waku < *waũ.waku,,,,,,,,,枉惑.w,,音节缩减,性格,4,1,1,,,,,,,,,,1 wauwaku 誑惑,2 wawaku,,1 ワウワク,1 オウワク | 2 ワワク,汉|日,,,吴音/汉音 枉 (waũ)；吴音 惑 (waku),,,,,
oyozure,oyozure（妖）,妖,名,,,,令人迷惑的话语、可疑的言论、不祥的假话、谣言（= oyozurekoto）。,,oyo+zure,,,,,*-(i)-i,,,怪+連,怪.a,,a/o,抽象,3,1,0,,,,,oyo2dure 於余頭礼 於与豆礼 (妖),,,,,,,,オヨヅレ,オヨズレ,日,,,,,,,,
ra,ra,,代,,,,（方言）自称。,,,,,,,,,,,我.r,,,人称,1,1,0,,,,,,,,,,,,,,ラ,西日,,,,,,,,
raQko,raQko（海獺）,猟虎 獺虎 海獺,名,,[0]-(0)-x,?3.6,海獭。,,,,,,,,,,,猟虎.r,,,哺乳,2,1,1,,,,,,,,,,,raQko,,,ラッコ,爱|日,rakko,,,,,,,
raQkuri,raQkuri,,副,,,,象：紧张被消除，心情变得轻松的样子。,,raQku-ri,,,,,*-ri,,,,楽.r,,,,2,1,1,,,,,,,,,,,,raQkuri,,ラックリ,日,,,樂 吴音/汉音 raku,,,,,
raQkyou,raQkyou（辣韮）,辣韮 辣韭 薤,名,,[0]-(0)-x,,薤。,3605 | 辣韭.r.n | *raQ.kjau | oC,raQ.kyou,*raQ.kyou（借词）,,,,,,,,辣韮.r,,,草,2,1,1,,,,,,,,,,,,raQkyou,,ラッキョウ,汉|日|琉,,,"辣韮 辣韭 辣 吴音 rati, 汉音 ratu；韭 汉音 kiu",,,,,
ren,rento,,副,,,,象：（东北）悠闲的样子。,,ren=t=o,,,,,,,,,ren,,,,1,1,0,,,,,,,,,,,,,,レン,日,,,,,,,,
rero,rero,,名,,,,（方言）舌、腔调、口才。,,,,,,,,,,,rero,,,器官,1,1,0,,,,,,,,,,,,,,レロ,日,,,,,,,,
rerorero,rerorero,,副・形动,,,,声：哄幼儿时，用舌头拨动上颚发出声音；态：（醉酒或麻痹等原因）舌头打结，发音不清晰；幼儿舌头不灵活；模仿幼儿说话不不清的样子。,,rero+rero,,,,,,,,rero+rero,rero,,,,2,1,0,,,,,,,,,,,,rerorero,,レロレロ,日,,,,,,,,
rifuzin,rihuzin（李夫人）,李夫人,名,五段（四段）,,,（方言）温州橘（= unsyuumikan）。,,ri.hu.zin,,,,,,,,,李夫人.r,,,果,1,1,1,,,,,,,,,,,,,,リフジン,汉|日,,,李 吴音/汉音 ri；夫 汉音 pu；人 汉音 zin,,,,,
riin,riin,,副,,,,声：金属相互接触的声音、铃铛、铃声；态：声音通地回响。,,,,,,,,,,,rin,,,,2,1,0,,,,,,,,,,,,riin,,リイン,日,,,,,,,,
rikimu,rikimu（力）,力,自动,五段（四段）,B-A-x | rikimi（名词）: [0]-x-x,,身体用力、摆架子、干劲十足、拉紧。,2 | 力.i.v | *(n)ikom-(?),riki-m-,,,,,*-m-,,,,力.r,,,,2,1,0,,,,,,,,,,,,rikim-,,リキム,日,,,,,,,,
"rindou 1, ryuutan 2, ryuudou 3","rindou 1, ryuutan 2, ryuudou 3（龍胆）",龍胆,名,,1 ?4.8; x - [1]-[1]-x | 2 [0]-x-x,?4.8,龙胆（植物）。,,1 rin.dou | 2 ryuu.tan | 3 ryuu.dou,,,,,,,,,龍胆.r,,韵尾调换,草,3,1,1,,,,,,,,,,1 rindau | 2 riutan | 3 riudau,,,1 リンダウ | 2 リウタン | 3 リウダウ,1 リンドウ | 2 リュウダン | 3 リュウタウ,汉|日,,,龍 吴音 ryuũ；膽 吴音/汉音 tam,,,,,
rinrin,rinrin,,副,,[1]-[1]-x,,声：金属相互接触的声音、铃铛、铃声；水沸腾时釜和铁壶等发出的声音；铃虫、松虫等鸣叫的声音；态：声音通透且尖锐地回响。,,rin+rin,,,,,,,,rin+rin,rin,,,,2,1,0,,,,,,,,,,,rinrin,,,リンリン,日,,,,,,,,
ro,ro,,动,,,,"系词，可能是系动词 to- 的变体。上代时，ro2 可以独用或者与 kamo, kamu 连用，可用于非活用形容词 woso2（轻率的）、活用形容词连体 -ki、名词后，说明 ro2 是一个系词，而且由于 kamo 要求系结动词连体形，因此 ro2 是连体形，但有些情况应分析为终止形。",,,,,,,,,,,コピュラ.r,,,,3,1,1,,,,,"ro2 呂 (ro2-kamo2 呂-迦母, ro2-kamo 呂-介茂 呂-賀聞 呂-可聞, ro2-kamu 呂-可儛)",,不明 ro2 呂,,,,,,,ロ,日,,"是：OK 是 (*i-)；MK -이〮라〮 (-í-lá), -이로다 (-ilwota)；K -이다 (-ida)",,,,,,
roQka,roQka,,名,,,,（近畿、四国）蜻蜓。,,,,,,,,,,,蜻蛉.r,,,虫,1,1,0,,,,,,,,,,,,,,ロッカ,央日,,,,,,,,
"rorerore1 , rore 2","rorerore1 , rore 2",,副,,,,"态：说话含糊不清的样子。（rore 为简写；来自名词 ryoritu, roretu（呂律，表示「发音，腔调」））",,ro.re+ro.re,,,,,,,,呂律+呂律,呂律.r,,音节缩减,,2,1,1,,,,,,,,,,,,1 rorerore | 2 rore,,1 ロレロレ | 2 ロレ,日,,,"呂 吴音 ro；律 吴音 riti, 汉音 ritu",,,,,
rorimeku,rorimeku,,自动,五段（四段）,,,象：（因担心和惊讶而感到）不安、兴奋。,,rori-mek-,,,,,*-miak-,,,,rori,,,,2,1,0,,,,,,,,,,,rorimek-,,,ロリメク,日,,,,,,,,
rorirori,rorirori,,副,,,,象：（因恐惧等而）不安、惊慌失措的样子；态：（高知県）摇摇晃晃的样子。,,rori+rori,,,,,,,,rori+rori,rori,,,,2,1,0,,,,,,,,,,,rorirori,,,ロリロリ,日,,,,,,,,
runrun,runrun,,副,,[1]-x-x,,态：心情兴奋时哼歌的样子。,,run+run,,,,,,,,run+run,run,,,,2,1,0,,,,,,,,,,,,runrun,,ルンルン,日,,,,,,,,
"ryousyou 1, nousen 2","ryousyou 1, nousen 2（凌霄）",凌霄,名,,2 [0]-x-x,,紫葳，凌霄。,,1 ryou.syou | 2 nou.sen,,,,,,,,,凌霄.r,,r/n,藤,4,1,1,,,,,,,,,,,1 reuseu,2 nousen,1 レウセウ,1 リョウショウ | 2 ノウゼン,汉|日,,,凌 吴音/汉音 ryoũ；霄 吴音/汉音 seu,,,,,
ryuukyuu,ryuukyuu（琉球）,琉球 流虬 流求 琉求 瑠求 瑠球 流鬼,名,,[3]-[0]-x C,,琉球（台湾东北侧群岛名，古时也指台湾）。,3623 | 琉球.r.n | *rjuu.kjuu | oC,ryuu.kyuu,*riu.kiu,*riu.kiu,,,,,,,琉球.r,,,地名,3,1,1,,,,,riukiu 留求 琉球,,,,,,,,リウキウ,リュウキュウ,汉|日|琉,,,流 汉音 riu；求 汉音 kiu,,,,,
ryuuryuu,ryuuryuu,,副,,[0]-x-x,,声：表示刀、枪、箭等速度快的声音；态：（岡山県児島郡）装模做样地走路、（熊本県）飒爽的样子、（長崎県対馬）迅速行动、（長崎県壱岐島）进展顺利。,,ryuu+ryuu,,,,,,,,riu+riu,riu,,,,3,1,0,,,,,,,,,,,,1 "riuriu" = 2 ryuuryuu,1 リウリウ,2 リュウリュウ,日,,,,,,,,
umobansyo*,umobansyo*,,名,,,,（北琉球冲绳）海芋、毒芋。,,,沖縄 *umo+ban.syo,,,,,,,,芋.u|蕃藷.p,不食芋,,草,0,1,0,,,,,,,,,,,,,,,北琉冲,,,,,,,,
wa,wa（環）,輪 環,名,,1.3a; 平 - [1]-(0)-B A-(x)-x,1.3a,圆环、车轮、桶箍。,4896 | 輪.w.n | *wa | 3A,,*wa,,,,,,,,環.w,,,形状,2,1,0,,,,,wa 和 (勾),,,,,,,,,ワ,日|琉,,,,,,,,
wa,wa（曲）,曲,名,,,,山脚、河流、海岸等地形弯曲的地方。,,,,,,,,,,,環.w,曲,,地形,3,1,0,,,,,(曲),,,,,wa 和 (曲),,,,ワ,日,,,,,,,,
wa,wa（倭）,倭 委,名,,[1]-x-x,,倭（委）国，中国汉朝记载的日本国名。,,,,,,,,,,,倭.w,,,地名,2,1,1,,漢印 委；邪馬臺 倭,,,,,,,,,,,,ワ,日,,,OC 委 (*q(r)ojʔ),,,,,
wa,wa（我）,我 吾 和,代,,"1.3a; ?< 2.3, ?< 2.4; x - [1]-[0]-x B-B-(A/C). 镰仓 L(-H). 江户 R",1.3a,我、我们、你（亲昵、轻视）、自己、那个人自身。（WOJ 必须接格助词，EOJ 可独用。在 EMJ 代替了 a。南琉球的 a- 表示第一人称单数，但 wa- 表示第一人称复数；在琉球，此短式接所有格 *=ga）,4895 | 我.w.n | *wa,,*wa,*wa,,,,,,,我.w,,,,4,1,1,,,,,wa 和,,wa 和（我） | 能登 (吾)（我们）,,大宝二年戸籍帳（筑紫） wa 和,,,,,ワ,日|琉,,,,,,,MMo. ba（主格、属格）; WMo ba（我们（排除式））; Dag. ba:; Khal. ba; Kalm. ma; Eastern Yug. bǝ; pMo *ba,
waa,waa,,副・感叹,,,,声：惊讶声；突然大声剧烈哭泣；很多人一起喊。,,,,,,,,,,,wa,,,,2,1,0,,,,,,,,,,,waa,,,ワア,日,,,,,,,,
waaan,waaan,,副,,[0/4]-x-x,,声：小虫成群振翅；态：小虫成群飞翔。,,waaa-n,,,,,*-n,,,,wa,,,,2,1,0,,,,,,,,,,,,waaan,,ワワアン,日,,,,,,,,
waai,waai,,副・感叹,,,,声：高兴、逗人、起哄、惊讶声。,,waa-i,,,,,*-i,,,,wa,,,,2,1,0,,,,,,,,,,,,waai,,ワアイ,日,,,,,,,,
waaiwaai,waaiwaai,,副・感叹,,,,声：高兴、逗人、起哄、惊讶声。,,waa-i+waa-i,,,,,*-i+CP-i,,,wa+wa,wa,,,,2,1,0,,,,,,,,,,,,waaiwaai,,ワアイワアイ,日,,,,,,,,
waaQ,waaQ,,副・感叹,,,,声：惊讶声、哭笑声、振奋精神声；为了惊吓他人或者振奋精神而突然发出的大声；突然大声剧烈哭泣。,,waa-Q,,,,,*-Q,,,,wa,,,,2,1,0,,,,,,,,,,,,waaQ,,ワアッ,日,,,,,,,,
waawaa,waawaa,,副,,[1]-[1]-x,,声：大声剧烈哭泣；态：很吵闹的样子。,,waa+waa,*waa+waa,*waa+waa,,,,,,wa+wa,wa,,,,2,1,0,,,,,,,,,,,waawaa,,,ワアワア,日|南琉八,,,,,,,,
wabiru,wabiru（侘）,侘 詫,自动,上一段（上二段）,A; A - A-B-A. 镰仓 A | wabi（名词）: 2.1; 上上 - [0/2]-[0/1]-A x-A-x、,A,沮丧、泄气、困惑、寂寞、生活落魄、闲寂、恳求、道歉、焦急做。（冲绳语或为借词）,6238 | 詫.w.v | *wabi(r)- || 4898 | 詫.w.n | *wabi | 2A,wabi-,沖縄 *wab[e]-,*wab[ǝ]-i-,,,*-i-,,,,侘.w,,,,3,1,0,,,,,wabi2- (和備),,,,,,,,ワブ,ワビル,日|北琉冲,,,,,,,,
wabisigaru,wabisigaru（侘）,侘,他动,五段（四段）,B-A-x,,使表现出孤寂的心情。,,wabi-si-ga-r-,,,,,*-i-si-ga-r-,,,,侘.w,,,,2,1,0,,,,,,,,,,,wabisigar-,,,ワビシガル,日,,,,,,,,
wabisii,wabisii（侘）,侘,形,シイ（シク）,B; x - B-B-A. 镰仓 B,B,泄气无力的、困惑的、郁闷的、悲伤的、心里没底的、美中不足的、寂寞的、贫穷的、静寂的。,,wabi-si-,,,,,*-i-si-,,,,侘.w,,,,3,1,0,,,,,wabi2si- (和備思),,,,,,,,ワビシ,ワビシイ,日,,,,,,,,
wabisimeru*,wabisimeru*（侘）,侘,他动,下一段（下二段）,B-x-x,,使感到孤寂、使感到困惑。,,wabi-si-m-e-,,,,,*-i-si-m-ai-,,,,侘.w,,,,3,1,0,,,,,,,,,,,wabisime-,,ワビシム,ワビシメル*,日,,,,,,,,
wabureru*,wabureru*（侘）,侘,自动,下一段（下二段）,A,A,沮丧、泄气、困惑、寂寞、生活落魄、闲寂、恳求、道歉、焦急做。,,wabu-re-,,,,,*-ra-i-,,,,侘.w,,,,3,1,0,,,,,wabure- (和夫礼),,,,,,,,ワブル,ワブレル*,日,,,,,,,,
wada,wada（曲）,曲,名,,?2.3,?2.3,地形弯曲的地方（如入海口）、曲折。,,wa-da,,,,,*-da,,,,環.w,曲,,地形,2,1,0,,,,,wada 和太,,,,,,,,,ワダ,日,,,,,,,,
wadakamaru,wadakamaru（蟠）,蟠,自动・他动,五段（四段）,A/B-A-x | wadakamari（名词）: [0]-[0]-x,,（自动）弯曲成环形、盘绕、弯曲、内心扭曲、心情不畅、凝固停滞；（他动，后起的）私吞、侵吞。,,wa-da-ka-ma-r-,,,,*-ka-,*-da-ka-ma-r-,俗语,,,環.w,曲,,,2,1,0,,,,,,,,,,wadakamar-,,,,ワダカマル,日,,,,,,,,
wadamaru,wadamaru（蟠）,蟠,自动,五段（四段）,,,曲成环形、盘绕、弯曲、内心扭曲、心情不畅、凝固停滞。,,wa-da-ma-r-,,,,,*-da-ma-r-,,,,環.w,曲,,,2,1,0,,,,,,,,,,wadamar- (和太万留),,,,ワダマル,日,,,,,,,,
wadan,wadan,,名,,[0/1]-x-x,,假黄鹌菜（Crepidiastrum platyphyllum）。一种菊科草本植物，生长于关东南部至东海道海岸。,,,,,,,,,,,わだん.w,,,草,2,1,0,,,,,,,,,,,,wadan,,ワダン,日,,,,,,,,
wadaci,wadati（轍）,轍,名,,[0/1]-[0]-x,,车辙、车轮。,,wa+dat-i,,,,,*-i,,名=の+名,環+立,環.w|立.t,,,部件,2,1,0,,,,,,,,,,,wadaci,,,ワダチ,日,,,,,,,,
wadawada,wadawada,,副,,,,态：战战兢兢的样子。,,wada+wada,,,,,,,,wada+wada,wada,,,,2,1,0,,,,,,,,,,wadawada,,,,ワダワダ,日,,,,,,,,
wae,wae（若枝）,若枝,名,,,,幼枝。,,wa+e,,,,,,,,若+枝?,若.w|支.y,,,植物器官,3,1,0,,,,,,,,,,wawe 和恵 (枝),,,ワヱ,ワエ,日,,,,,,,,
wagamama,wagamama（我儘）,我儘,名,,[3/4]-(0)-x,,变成自己想要的样子、如己所愿；不考虑他人，随心所欲、任性自私；肆意挥霍。,,wa=ga+mama,*wa=ga+mama,,,,,,,我=が+儘,我.w|儘.m,,,性格,2,1,0,,,,,,,,,,wagamama,,,,ワガママ,日|琉,,,,,,,,
waganeru,waganeru（綰）,綰,他动,下一段（下二段）,?A/B; A - B-A-x,?A/B,使弯成圆圈。,,wa-ga-n-e-,,,,,*-ga-na-i-,,,,環.w,綰,,,3,1,0,,,,,,,,,,wagane-,,,ワガヌ,ワガネル,日,,,,,,,,
wagaru,wagaru（綰）,綰 曲,自动,五段（四段）,,,（西日本）弯曲。,,wa-ga-r-,,,,,*-ga-r-,,,,環.w,綰,,,2,1,0,,,,,,,,,,,wagar-,,,ワガル,西日,,,,,,,,
wageru,wageru（綰）,綰,他动,下一段（下二段）,?A; A - A-A-x | wage（名词）: x - [0]-x-x,?A,使弯成圆圈、梳发髻。（名词：发髻）,,wa-ge-,,,,,*-ga-i-,,,,環.w,綰,,,3,1,0,,,,,,,,,,wage-,,,ワグ,ワゲル,日,,,,,,,,
wagi-*,wagi-*（怒）,怒,自动,,x-x-x x-A-A,,（琉球）生气。,5673 | 怒.w.v | *wa[d]ir-,,*wagi-,,,,*-i-,,,,沸.w,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
"wagie 1, waie 2","wagie 1, waie 2（我家）",我家,名,,?3.7b; x - x-(2)-x,?3.7b,我家。,,1 wa=g(a)+ie | 2 wa+ie,,,,,,,,我=が+家,我.w|家.i,,gi/i,建,3,1,0,,,,,1 wagi1pe1 和岐幣 和企弊 | 2 waipe1 (和伊戸),,,,,,,,1 ワギヘ | 2 ワイヘ,1 ワギエ | 2 ワイエ,日,,,,,,,,
"wagimo 1, wagime 2","wagimo 1, wagime 2（吾妹）",吾妹,名,,3.7b; 平上平 - [1]-(2)-x,3.7b,我的妻子、我的恋人。,,1 wa=g(a)+imo | 2 wa=g(a)+ime,,,,,,,,我=が+妹,我.w,,o/e,亲,4,1,0,,,,,"1 wagi1mo1 和芸毛, wagi1mo 和伎母",,1 信濃 不明 wagi1mo1 和伎毛 和藝毛 | 2 駿河 wagi1me2 和伎米,,wagi1mo1 和岐毛,,,,,1 ワギモ | 2 ワギメ,日,,,,,,,,
wagiras-*,wagiras-*（沸）,沸,他动,,x-x-x x-x-A,,（南琉球八重山与那国）使沸腾。,,,与那国 *wagi-r-as-,,,,*-i-ra-s-,,,,沸.w,,,,0,1,0,,,,,,,,,,,,,,,南琉八,,,,,,,,
wagomu,wagomu（綰）,綰,自动,,,,（西日本）弯曲。,,wa-go-m-,,,,,*-g[o]-m-,,,,環.w,綰,,,1,1,0,,,,,,,,,,,,,,ワゴム,西日,,,,,,,,
wagore,wagore,,代,,,,（西日本）你、你们。,,wa-go-re?,,,,,*-r[e],,,,我.w,,,,1,1,0,,,,,,,,,,,,,,ワゴレ,西日,,,,,,,,
wagoru,wagoru,,自动・他动,,,,（中部）水流形成漩涡；（四国）草木繁茂。,,wa-go-r-,,,,,*-g[o]-r,,,,環.w,綰,,,1,1,0,,,,,,,,,,,,,,ワゴル,央日,,,,,,,,
wagotamaru,wagotamaru（綰）,綰,自动,五段（四段）,,,弯成圆圈。,,wa-go+ta-ma-r-,,,,,*-g[o]+CP-ma-r-,,,綰+矯,環.w|撓.t,綰,,,2,1,0,,,,,,,,,,,wagotamar-,,,ワゴタマル,日,,,,,,,,
wagu,wagu,,副,,,,态：张大嘴咬的样子。,,,,,,,,,,,wagu,,,,2,1,0,,,,,,,,,,,,wagu,,ワグ,日,,,,,,,,
wagumu,wagumu（綰）,綰,他动,五段（四段）,,,使弯成圆圈。,,wa-gu-m-,,,,,*-g[o]-m-,,,,環.w,綰,,,2,1,0,,,,,,,,,,wagum-,,,,ワグム,日,,,,,,,,
waguri,waguri,,副,,[2/3]-x-x,,态：张大嘴咬的样子。,,wagu-ri,,,,,*-ri,,,,wagu,,,,2,1,0,,,,,,,,,,,,waguri,,ワグリ,日,,,,,,,,
"wagutameru* 1, wagotameru 2","wagutameru* 1, wagotameru 2（綰）",綰,他动,下一段（下二段）,,,使弯成圆圈。,,wa-gu+ta-m-e-,,,,,*-g[o]+CP-m-ai-,,,綰+矯,環.w|撓.t,綰,u/o,,3,1,0,,,,,,,,,,,,1 wagutame- | 2 wagotame-,1 ワグタム,1 ワグタメル* | 2 ワゴタメル,日,,,,,,,,
wahaha,wahaha,,感叹,,,,声：大笑。,,wa+ha+ha,,,,,,,,wa+ha,wa|ha,,,,2,1,0,,,,,,,,,,,,wahaha,,ワハハ,日,,,,,,,,
