hb,word,kz,wd_cl,ky,ac,ac_c,mn,uc,da,pr,pjr,pf,if,sf,if_o,rd_o,cp,wd_f,wd_f_2,alt,wd_cg,class2,class5,class6,pij,yyj,kfj,skj,woj,woj_2,aoj,izj,ksj,emj,lmj,mdj,hkz,mkz,lg_c,ai,ko,st,as,kt,ie,te,ol
aburas-*（炙）,aburas-*（炙）,炙,他动,,,,（南琉球宫古）使烤、使加热。,7496 | 炙.a.v.2 | *abur-as-,,宮古 *abura-s-,,,,*-s-,,,,熱.a|触.p,炙,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
"abureru 1, afureru 2","abureru 1, ahureru 2（溢）",溢,自动,下一段（下二段）,?A/B; A - B-A-A x-A-x | a{b/h}ure（名词）: [3]-[0]-x,?A/B,（多用 ahureru）溢出、充满、（多用 abureru）失业、一无所获、（方言：沉溺、卖剩下、失败、怠慢、浪费）。,,1 abu-re- | 2 ahu-re-,1 *abu-re-,*abu-ra-i-,,,*-ra-i-,,,,溢.a,,o/a 方言 k/{p} 交替 h / __ (VC)u > k,,4,1,0,,,,,(溢),,,,,1 abure- | 2 afure-,,,1 アブル | 2 アフル,1 アブレル | 2 アフレル,日|琉,,,,,,,,
aburu,aburu（炙）,炙 焙,他动,五段（四段）,B'; B' - B-A-B x-B-x. 江户 HLL,B',烤、加热、烘干。,18 | 炙.a.v | *abur- | 2 || 28 | 炙.a.n | *abur-i,abur-,*abur-,*abur- ?< *a(tu)+bur-,,,,,,熱+触?,熱.a|触.p,炙,,,2,1,0,,,,,,,,,,abur- (阿夫留),,,,アブル,日|琉,,,,,,,,
abusu,abusu（余）,余 溢,他动,五段（四段）,A-x-x,,剩下、留下、丢弃。,,abu-s-,,,,,*-s-,,,,溢.a,,,,2,1,0,,,,,abus- (安夫左),,,,,,,,,アブス,日,,,,,,,,
ada,ada（他）,他 異 仇,名,,2.2a; 上上 - [2]-[1]-A x-A-x. 1700 大阪 HL. 倭語類解 (?1700) anta,2.2a,敌（北琉球用此义）、仇、害、恨、其他、不同；（ada）（岡山県、広島県）外部、（広島県）外庭、（岡山県）外海、山麓、（岡山県吉備郡）光照好的土地、（岡山県真庭郡）山谷的下游、（兵庫県加古郡）有台子和地毯的房间中没有台子和地毯的部分、（静岡県、岡山県真庭郡、苫田郡）大厅。,31 | 仇.a.n | *ada | 2A,,北 *ada,*ata,,,,,,,他.a,,,人,4,1,0,,,,,ata 安多,,,,,,ada,,アタ,アダ,日|北琉,,,,,,,,
ada,ada（徒）,徒,形动,,2.2a; 上上 ?< 上平) - [2]-[1]-A x-A-x,2.2a,空虚的样子、徒劳的样子、粗略的样子、轻浮的样子、暂时的样子。,32 | 徒.a.n | *ada,,*ada,*ada,,,,,,,徒.a,,,,2,1,0,,,,,,,,,,ada,,,,アダ,日|琉,,,,,,,,
adaeru*,adaeru*（徒）,徒,自动,下一段（下二段）,,,开玩笑、恶作剧。,,ada-e-,,,,,*-pa-i-,,,,徒.a,,,,3,1,0,,,,,,,,,,adawe-,,,アダフ,アダエル*,日,,,,,,,,
adan,adan（阿檀）,阿檀 阿旦 栄蘭,名,,x-x-x x-B-x,,（琉球）露兜树、林投，在琉球、台湾等地自生（别名 eran）。,33 | 阿旦.a.n | *adani | nC,,*adani,,,,,,,,阿檀.a,,,木,2,1,0,,,,,,,,,,,,adan,,アダン,琉,,,,,,,,
adasii,adasii（他）,他 異,形,シイ（シク）,A - B-A/B-x,A,其他的、不同的。,,ada-si-,,,,,*-si-,,,,他.a,,,,5,1,0,,,,,(佗),,,,,atasi-,adasi-,,アタシ,アダシイ,日,,,,,,,,
adasii,adasii（徒）,徒 空,形,シイ（シク）,A; 上平平 - [2]-[0/2]-x,A,空的、徒劳的。,,ada-si-,,,,,*-si-,,,,徒.a,,,,3,1,0,,,,,,,,,,,adasi-,,アダシ,アダシイ,日,,,,,,,,
adate-*,adate-*（尋）,尋,他动,,x-x-x x-B-x,,（北琉球）寻求、探寻。,34 | 尋.a.v | *adate-,,北 *adate-,,,,*-i-,,,,尋.a,,,,0,1,0,,,,,,,,,,,,,,,北琉,,,,,,,,
adeku*,adeku*（蛸家）,蛸家,名,,,,（北琉球奄美与论）章鱼的家、秘密场所。,35 | 蛸の家.a.n | *adeku,,与論 *adeku,,,,,,,,蛸家.a,,,地形,0,1,0,,,,,,,,,,,,,,,北琉奄,,,,,,,,
adokenai,adokenai,,形,イ（ク）,B-B-A,,纯真的、天真无邪的、孩子气的、幼稚的。,,ado+ke-na-,,,,,*-na-,,,無邪気+気,無邪気.a|気.k,,,,2,1,0,,,,,,,,,,,,adokena-,,アドケナイ,日,,,,,,,,
adonai,adonai,,形,イ（ク）,B-B-A,,纯真的、天真无邪的、孩子气的、幼稚的。,,ado-na-,,,,,*-na-,,,,無邪気.a,,,,3,1,0,,,,,,,,,,,adona-,,アドナシ,アドナイ,日,,,,,,,,
aegu,aegu（喘）,喘,自动,五段（四段）,?A/B; A - B-A-B. 室町 HLL | aegi（名词）: A - [3]-[0]-x x-(B)-x,?A/B,喘气、拮据。,,aeg- ?< *apa+ik-,,,,,,,,喘+生,喘.a|生.i,,,,4,1,0,,,,,ape2k- (阿倍寸),,,,,,aegu,,アヘク,アエグ,日,,,,,,,,
aeru,aeru（淡）,,自动,下一段（下二段）,?A; x - x-x-x A-A-x,?A,食物无味或变味。,,ae-,北 *ape-,*apa-i-,,,*-i-,,,,淡.a,,,,3,1,0,,,,,,,,,,awe-,,,アフ,アエル,日|北琉,,,,,,,,
aeru,aeru（合）,合 和 韲 敢 饗,自动・他动,下一段（下二段）,B; (B) - B-B-B x-B-x,B,（自动）敢、勉强；（他动）混合、重合、调和、中和、设宴、请客。,224 | 和.a.v | *ape- || 223 | 和.a.n | *ape | 3,a-e-,*ap-e-,*ap-ai-,,,*-ai-,,,,合.a,,,,4,1,0,,,,,ape2- (阿閇),,下野 不明 ape1- (阿敝 -a弁),,,,,,アフ,アエル,日|琉,,,,,,,,
aeru,aeru（零）,零,自动,下一段（下二段）,A,A,（果实、花成熟）掉落、（汗、血、乳）流落。,74 | 零.a.v | *aje- | iA,ae-,*aye-,*aya-i-,,,*-i-,,,,零.a,,,,3,1,0,,,,,aye- (安由流),,,,,,,,アユ,アエル,日|琉,,,,,,,,
aeru,aeru（肖）,肖 似,自动,下一段（下二段）,B; B - B-B-x,B,相似、效仿。（与论语或为借词）,,ae-,与論 *aye-,*aya-i-,,,*-i-,,,,紋.a,肖,,,3,1,0,,,,,aye- (阿叡),,,,,,,,アユ,アエル,日|北琉奄,,,,,,,,
"aesirau 1, asirau 2","aesirau 1, asirau 2",,自动・他动,五段（四段）,?A/B; x - B-A-B x-A-x | aesirai（名词）: x - [0]-x-B. asirai: x - [3/0]-[0]-B,?A/B,（自动）配合、应对；（他动）招待、接待、配合。,,1 a-e+si-r+ap- | 2 a+si-r+aw-,,,,*-ra-,1 *-a(i)=i+CP,元音连续阻止,,合+為+合,合.a|為.s,,i/e,,4,1,0,,,,,,,,,,1 awesiraw-,2 asiraw-,,1 アヘシラフ | 2 アシラフ,1 アエシラウ | 2 アシラウ,日,,,,,,,,
agaku,agaku（足掻）,足掻,自动,五段（四段）,B; B - B-A-A x-B-x | agaki（名词）: x - [1/3]-[0]-A,B,刨地前进、挣扎、着急、（方言）焦虑、（琉球）努力工作。,,a+gak-,北 *a+gak-,*a+N+kak-,,,,,名=が+动,足+掻,足.a|掻.k,,,,3,1,0,,,,,agak- (足何久),,不明 agak- (安我伎),,,,,,,アガク,日|北琉,,,,,,,,
agameru,agameru（崇）,崇,他动,下一段（下二段）,?B; B - B-A-A x-B-x. 镰仓 agamuru LLLH. 江户 agamuru HHLL,?B,尊崇、宠爱。,45 | 崇.a.v | *agame-,aga-m-e-,*aga-m-e-,*aga-m-ai-,,,*-m-ai-,,,,上.a,,,,4,1,0,,,,,(重 寵),,,,,agame-,,,アガム,アガメル,日|琉,,,,,,,,
aganau,aganau（贖）,贖 購,他动,五段（四段）,?B; x - B-A-A x-(B)-x | aganai（名词）: x - [3/0]-[0]-A x-B-x,?B,购买、赎罪。,,aga-na-w-,,,,,*-na-p-,,,,商.a,購,,,4,1,0,,,,,,,,,,,akanaw-,aganaw-,アカナフ,アガナウ,日,,,,,,,,
agaras-*,agaras-*（上）,上,他动,,,,（琉球）提高。,5571 | 上.a.v.3 | *agar-as-,,*aga-ra-s-,,,,*-ra-s-,,,,上.a,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
agaroe*,agaroe*（東）,東,名,,x-x-x x-A-x,,（琉球）东。,52 | 東辺.a.n | *agaro pe,,*aga-r=o+pe,,,,*-r-,,,上+辺,上.a|辺.p,,,方,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
agaru,agaru（上）,上 揚 挙 騰,自动・他动,五段（四段）,A; A - A-A-A x-A-x. 镰仓 HHH | agari（名词）: x - [0]-[0]-A x-A-x,A,（自动）上升、出现、完成、提升、上学；（他动，后起的）吃喝。做助动词时表示动作向上移动。（与 noboru（登）的不同在于，agaru 强调上升的结果，noboru 强调上升的过程）,46 | 上.a.v | *agar- | i || 47 | 上.a.n | *agar-i | 1A,aga-r-,*aga-r-,*aga-r-,,,*-r-,,,,上.a,,,,2,1,0,,,,,agar- (安我里 阿加良),,,,,,,,,アガル,日|琉,,,,,,,,
agata,agata（県）,県,名,,3.4; 平平平 - 1-2-x. 镰仓 LLL,3.4,县（行政组织）。,,,,,,,,,,,県.a,,,,3,1,0,,,,,(県),,,,,agata 阿賀多,,,,アガタ,日,,,,,,,,
agata*,agata*（遠）,遠,名,,,,（南琉球宫古）远处。,53 | 遠.a.n | *agata,,宮古 *a+gata,,,,,,名=の+名,彼+方,彼.a|方.k,,,,0,1,0,,,,,,,,,,,,,,,南琉宫,,,,,,,,
agau,agau（贖）,贖 購,他动,五段（四段）,B; B - B-A-x,B,购买、赎罪。,,aga-w-,,,,,*-p-,,,,商.a,購,,,4,1,0,,,,,akap- (安賀布 阿可布),,,,,,,agau,アカフ,アガウ,日,,,,,,,,
age,age（陸）,陸,名,,,,（西日本、琉球）陆地。（其他方言中还存在其他含义）,54 | 陸.a.n | *age | 2A,age,*age,*aga-(i)-i,,,*-(i)-i,,,,上.a,,,地形,2,1,0,,,,,,,,,,,,age,,アゲ,西日|琉,,,,,,,,
agemawas-*,agemawas-*（励）,励,他动,,,,（琉球）振作精神做、催促。,5572 | 励.a.v | *age+mapas-,,*age+ma-pa-s-,,,,*-(i)=i+CP-pa-s-,,,上+回,上.a|円.m,,,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
ageru,ageru（上）,上 揚 挙,他动,下一段（下二段）,"A; A - A-A-A x-A-x. 镰仓, 江户 aguru HHH | age（名词）: [0]-[0]-x",A,抬举、提高、提出、完成、送、呕吐。做助动词时表示动作向上移动。,56 | 上.a.v.2 | *age- | i || 55 | 上.a.n.2 | *age | A,age-,*age-,*aga-i-,,,*-i-,,,,上.a,,,,3,1,0,,,,,age2- (阿宜 安宜 阿義 安氣),,,,,,,,アグ,アゲル,日|琉,,,,,,,,
agetsurau,ageturau（論）,論,他动,五段（四段）,A; A - B-A-A | ageturai（名词）: [0]-[0]-x,A,议论、辩论、挑毛病。,,age+tura-w-,,,,,*-(i)=i+CP-p-,,,上+連,上.a|連.t,,,,4,1,0,,,,,(論),,,,,ageturaw-,,,アゲツラフ,アゲツラウ,日,,,,,,,,
agezabeyo*,agezabeyo*,,感叹・副,,x-x-x x-A/B-x,,（琉球）天啊！,,,"*a{k,g}e+{s,z}a+{m,b}[e]yo",,,,,,,,a,,b/m|清浊,,0,1,0,,,,,,,,,,,,,,,琉,,,,,,,,
agi,agi（腭）,腭 顎,名,,2.2a; 上平 - x-[1]-x x-A-x,2.2a,腭、下巴、腮（琉球用此义）。,58 | 上顎.a.n | *agi | 2A,,*agi,*agi,,,,,,,腭.a,,,器官,2,1,2,,,,,,,,,,agi 阿岐 安支,,,,アギ,日|琉,,"（贬义）口：NK、中国 아구리 (aguri)；SK 아가리 (agari), 가리 (gari)；嶺東（江原） 아갈통 (agaltong)；慶尙 아가빠리 (agappari), 아감지 (agamji), 아구 (agu), 아구빠리 (aguppari), 아구지 (aguji), 아구투이 (agutu'i), 아구팅이 (aguting'i), 악빠리 (akppari), 알 (al), 입아가리 (ibagari)；全羅 아가지 (agaji), 아갈채이 (agalchaei), 아겡이 (ageng'i), 아고지 (agoji), 아구딱 (aguttak), 아구지 (aguji), 아구창 (aguchang), 아구탱이 (agutaeng'i), 아구통 (agutong), 아굴채기 (agulchaegi), 아굴채이 (agulchaei), 아굴태기 (agultaegi), 아그딱 (ageuttak), 악발 (akbal), 입아가리 (ibagari)；忠淸 아가지 (agaji)；西北（平安） 아지가리 (ajigari), 악제기 (akjegi), 악젱이 (akjeng'i), 악퉁이 (aktung'i)；東北（咸鏡） 당내기 (dangnaegi), 덕뭉이 (deongmung'i), 덕슁이 (deokswing'i), 아우리 (auri), 악제기 (akjegi), 악지 (akji), 악쉬 (akswi) | （淘汰）口、（比喻）雄辩、鮟鱇：K 아귀 (akwuy) | 灶、灶孔：아궁이 (agung'i) | 鱼鳃：아가미 (agami)",,,,,洞：WMo. агуй (ᠠᠭᠤᠢ aɣui),
